tipo_de_carretera;numeros_de_carriles;curvatura;limite_de_velocidad;iluminacion;clima;seniales_presentes;carretera_publica;momento_del_dia;feriado;temporada_escolar;nro_accidentes_reportados;riesgo_de_accidente
urban;2;0,12;70;luz;lluvioso;no;no;tarde;no;no;1;0,34
rural;2;0,72;45;noche;lluvioso;no;si;mañana;si;no;0;0,43
urban;3;0,15;35;noche;lluvioso;si;si;tarde;si;no;3;0,54
rural;4;0,29;45;noche;neblina;no;si;noche;si;no;1;0,34
urban;1;0,68;35;noche;despejado;no;si;tarde;no;si;1;0,27
autopista;2;0,64;70;noche;neblina;si;no;tarde;si;si;1;0,65
urban;1;0,9;25;luz;despejado;no;si;tarde;si;no;3;0,43
urban;4;0,33;35;poca_luz;lluvioso;si;si;mañana;si;no;2;0,22
rural;4;0,37;35;luz;despejado;no;no;mañana;no;si;1;0,12
urban;3;0,1;70;luz;lluvioso;si;no;mañana;no;si;2;0,23
autopista;2;0,28;25;luz;neblina;si;si;mañana;no;no;2;0,07
autopista;4;0,85;25;luz;despejado;no;si;tarde;si;si;2;0,27
rural;1;0,14;70;luz;neblina;si;no;noche;si;si;1;0,37
autopista;4;0,37;70;noche;neblina;si;no;mañana;no;no;1;0,56
urban;3;0,84;35;luz;neblina;no;no;mañana;si;si;4;0,42
autopista;3;0,22;25;poca_luz;neblina;no;si;noche;no;no;3;0,25
rural;4;0,16;45;noche;lluvioso;no;si;noche;no;si;2;0,28
urban;4;0,01;70;poca_luz;despejado;no;si;tarde;no;no;1;0,26
rural;2;0,92;35;luz;lluvioso;si;no;noche;no;no;1;0,39
urban;4;0,87;70;noche;despejado;si;no;noche;si;si;0;0,71
autopista;1;0,19;35;poca_luz;despejado;no;si;mañana;no;si;1;0,03
rural;2;0,79;45;luz;despejado;no;no;tarde;no;si;1;0,27
rural;4;0,97;35;poca_luz;despejado;no;si;noche;no;no;0;0,24
urban;2;0,31;70;luz;neblina;si;si;noche;no;si;3;0,5
rural;2;0,67;35;noche;despejado;no;no;mañana;si;no;0;0,48
urban;2;0,21;70;poca_luz;lluvioso;no;no;tarde;no;si;0;0,31
urban;3;0,59;70;poca_luz;neblina;si;si;mañana;si;no;1;0,47
urban;3;0,33;60;noche;lluvioso;no;si;tarde;no;si;2;0,58
urban;4;0,62;60;luz;despejado;no;si;noche;si;si;0;0,43
autopista;3;0,67;35;luz;neblina;no;no;tarde;si;si;0;0,29
urban;4;0,72;60;poca_luz;despejado;si;no;mañana;no;si;3;0,55
rural;1;0,9;25;luz;despejado;no;no;noche;si;no;1;0,19
autopista;2;0,11;70;noche;lluvioso;si;no;mañana;si;si;6;0,62
rural;4;0,28;35;poca_luz;despejado;si;si;tarde;no;si;1;0,08
autopista;3;0,17;35;luz;despejado;si;no;mañana;no;no;0;0,05
urban;3;0,44;45;noche;neblina;si;si;mañana;no;no;3;0,53
autopista;3;0,43;25;noche;despejado;no;no;mañana;no;si;2;0,42
autopista;3;0,33;70;poca_luz;lluvioso;si;no;noche;si;si;2;0,4
rural;4;0,99;45;poca_luz;lluvioso;no;no;tarde;si;si;2;0,42
rural;3;0,76;35;noche;despejado;si;no;mañana;si;no;2;0,39
urban;1;0,09;60;noche;neblina;no;no;tarde;si;si;1;0,49
autopista;4;0,4;70;luz;despejado;no;no;noche;si;no;3;0,43
autopista;1;0,86;60;poca_luz;despejado;no;si;mañana;si;no;2;0,48
autopista;1;0,17;60;poca_luz;neblina;si;si;noche;no;si;2;0,43
urban;2;0,46;60;poca_luz;lluvioso;no;si;tarde;no;no;1;0,46
urban;1;0,77;35;noche;lluvioso;no;si;tarde;no;si;0;0,54
urban;1;0,09;35;luz;neblina;no;no;tarde;si;si;4;0,18
urban;2;0,82;35;poca_luz;lluvioso;no;si;tarde;no;si;2;0,36
urban;4;0,11;35;noche;despejado;si;si;noche;no;no;3;0,35
rural;4;0,46;25;noche;despejado;si;si;noche;si;si;1;0,31
autopista;4;0,96;45;noche;neblina;si;no;mañana;no;si;1;0,63
autopista;1;0,51;70;luz;neblina;si;si;noche;no;no;5;0,56
autopista;1;0,9;35;luz;despejado;no;no;mañana;no;si;2;0,23
autopista;4;0,92;70;noche;despejado;si;no;noche;no;no;1;0,66
autopista;4;0,43;25;poca_luz;lluvioso;si;no;tarde;si;si;2;0,21
autopista;1;0,93;25;luz;lluvioso;no;si;mañana;no;si;1;0,36
autopista;3;0,09;60;luz;neblina;si;no;noche;no;no;2;0,29
autopista;3;0,35;60;noche;despejado;si;si;mañana;si;si;2;0,52
rural;2;0,88;35;luz;neblina;no;si;tarde;no;no;2;0,44
autopista;4;0,53;45;noche;despejado;si;no;mañana;no;no;1;0,26
rural;4;0,72;60;noche;lluvioso;si;si;tarde;si;no;1;0,68
urban;2;0,04;45;poca_luz;lluvioso;no;si;noche;si;no;3;0,28
autopista;2;0,67;45;luz;despejado;si;no;mañana;no;si;2;0,31
urban;2;0,85;60;luz;despejado;si;si;noche;no;si;1;0,5
urban;2;0,68;25;luz;neblina;no;si;tarde;no;no;0;0,25
urban;4;0,95;45;poca_luz;despejado;si;no;tarde;no;no;2;0,31
rural;4;0,69;60;luz;despejado;no;si;tarde;no;si;2;0,41
urban;3;0,32;35;noche;neblina;si;si;mañana;no;no;0;0,35
urban;3;0,25;25;poca_luz;neblina;no;no;noche;si;si;1;0,14
urban;1;0,63;45;luz;neblina;no;si;tarde;no;si;4;0,28
autopista;4;0,1;35;poca_luz;neblina;no;si;mañana;si;no;2;0,14
autopista;1;0,38;70;luz;despejado;no;si;noche;no;no;2;0,36
rural;4;0,44;35;luz;lluvioso;no;no;tarde;si;no;1;0,29
rural;4;0,6;70;luz;lluvioso;no;si;mañana;si;si;0;0,49
autopista;3;0,23;60;noche;neblina;no;no;tarde;no;si;1;0,59
rural;3;0,93;45;poca_luz;lluvioso;no;no;mañana;si;si;2;0,43
autopista;1;0,94;35;luz;neblina;no;no;tarde;si;si;1;0,4
urban;1;0,6;70;luz;lluvioso;no;no;tarde;si;si;1;0,42
urban;2;0,67;70;noche;neblina;si;no;noche;no;no;1;0,67
rural;1;0,31;35;poca_luz;despejado;si;si;tarde;si;no;1;0,03
autopista;4;0,26;45;luz;despejado;si;si;mañana;si;si;1;0,06
autopista;4;0,27;70;noche;lluvioso;no;si;noche;si;si;1;0,64
rural;4;0,41;60;luz;despejado;no;no;tarde;si;no;3;0,43
autopista;3;0,93;45;luz;lluvioso;no;no;mañana;si;no;1;0,34
urban;2;0,31;35;poca_luz;despejado;no;si;noche;no;si;1;0,11
rural;4;0,29;25;poca_luz;neblina;no;si;noche;no;si;1;0,24
rural;2;0,33;45;noche;lluvioso;si;no;noche;si;si;3;0,49
autopista;2;0,23;70;luz;despejado;no;si;mañana;no;no;2;0,18
rural;4;0,73;45;luz;lluvioso;no;si;mañana;no;no;1;0,25
autopista;2;0,4;35;poca_luz;despejado;no;no;mañana;no;si;1;0,18
autopista;4;0,47;70;poca_luz;despejado;si;si;mañana;si;si;2;0,39
autopista;4;0,72;60;luz;lluvioso;no;no;tarde;no;no;2;0,47
autopista;4;0,65;45;poca_luz;neblina;no;si;mañana;si;si;1;0,32
autopista;3;0,4;35;noche;lluvioso;no;no;noche;si;no;0;0,45
rural;3;0,02;35;luz;neblina;si;si;tarde;si;no;2;0,17
urban;1;0,89;70;poca_luz;despejado;si;no;tarde;si;si;5;0,58
urban;4;0,11;60;luz;despejado;no;si;noche;si;si;0;0,26
rural;4;0,84;45;luz;neblina;si;si;mañana;no;si;1;0,26
rural;4;0,75;35;noche;despejado;no;si;noche;no;no;0;0,44
urban;1;0,83;60;noche;lluvioso;no;si;mañana;si;si;1;0,71
urban;3;0,89;60;luz;neblina;si;si;noche;no;no;1;0,55
urban;3;0,05;70;noche;neblina;si;si;noche;no;no;0;0,54
urban;1;0,44;35;poca_luz;despejado;si;si;mañana;si;no;1;0,04
urban;4;0,06;70;poca_luz;neblina;si;si;noche;no;no;1;0,28
autopista;4;0,32;25;noche;despejado;si;no;tarde;no;no;2;0,27
rural;3;0,14;25;luz;despejado;no;si;tarde;no;no;2;0,07
autopista;4;0,58;25;noche;despejado;si;no;noche;si;no;0;0,41
urban;3;0,62;25;luz;lluvioso;no;no;noche;no;si;0;0,29
urban;4;0,57;70;poca_luz;neblina;si;si;noche;no;no;3;0,67
urban;2;0,22;35;poca_luz;neblina;no;si;mañana;si;no;0;0,17
autopista;3;0,25;45;poca_luz;neblina;si;no;tarde;no;no;1;0,15
autopista;2;0,31;70;luz;lluvioso;si;si;noche;no;no;0;0,47
urban;3;0,16;45;luz;lluvioso;si;no;tarde;si;si;1;0,17
autopista;1;0,43;25;luz;neblina;no;si;tarde;si;si;0;0,18
autopista;3;0,7;25;luz;neblina;no;no;mañana;si;si;0;0,31
urban;3;0,8;70;noche;lluvioso;no;no;noche;si;no;3;0,81
autopista;4;0,02;45;noche;neblina;no;no;noche;no;no;0;0,35
rural;4;0,05;45;noche;despejado;no;no;tarde;si;no;2;0,3
rural;1;0,62;45;luz;neblina;si;no;noche;no;no;1;0,21
rural;4;0,46;35;noche;lluvioso;no;no;mañana;no;si;1;0,44
rural;4;0,34;25;luz;neblina;no;no;noche;si;si;2;0,21
urban;1;0,78;70;luz;lluvioso;no;si;noche;si;si;1;0,47
urban;1;0,49;25;poca_luz;lluvioso;si;si;mañana;si;si;3;0,37
urban;3;0,59;45;luz;neblina;si;no;mañana;no;si;2;0,24
rural;4;0,34;35;noche;lluvioso;no;no;mañana;si;si;3;0,46
rural;4;0,3;60;poca_luz;neblina;no;no;mañana;si;si;0;0,37
autopista;1;0,95;70;poca_luz;despejado;no;si;noche;si;no;2;0,51
autopista;3;0,7;25;luz;lluvioso;si;no;tarde;no;si;3;0,43
rural;4;0,33;60;poca_luz;despejado;si;si;noche;si;no;3;0,4
rural;1;1;60;luz;neblina;no;si;tarde;no;si;3;0,66
rural;3;0,05;25;luz;neblina;no;si;tarde;no;no;1;0,17
rural;4;0,43;45;noche;despejado;si;no;noche;no;si;2;0,31
autopista;4;0,98;70;poca_luz;neblina;si;si;mañana;no;si;1;0,58
rural;1;0,9;60;poca_luz;lluvioso;si;no;mañana;si;si;3;0,59
autopista;1;0,45;25;noche;despejado;no;si;mañana;si;no;2;0,39
rural;2;0,71;60;noche;lluvioso;no;si;noche;si;no;0;0,57
rural;3;0,37;35;noche;neblina;si;si;tarde;no;si;1;0,37
rural;1;0,48;25;luz;despejado;no;si;mañana;si;no;0;0,14
autopista;3;0,65;25;noche;neblina;no;si;noche;no;si;3;0,61
autopista;1;0,37;25;poca_luz;lluvioso;no;no;noche;no;no;0;0,28
urban;3;0,77;70;poca_luz;lluvioso;no;no;noche;no;no;1;0,54
rural;3;0,35;60;poca_luz;despejado;si;si;noche;no;si;2;0,38
urban;4;0,21;70;luz;lluvioso;si;no;mañana;no;si;0;0,35
urban;3;0,25;35;luz;despejado;si;no;noche;no;si;1;0,06
autopista;2;0,9;70;noche;despejado;si;si;noche;si;si;5;0,75
autopista;4;0,75;70;luz;lluvioso;no;si;tarde;si;no;1;0,5
urban;3;0,9;35;luz;lluvioso;si;si;tarde;si;si;0;0,31
rural;1;0,93;70;luz;lluvioso;si;si;tarde;si;si;0;0,63
autopista;2;0,01;70;luz;neblina;si;no;noche;si;no;0;0,25
rural;4;0,19;70;noche;lluvioso;no;si;noche;no;si;1;0,59
rural;3;0,39;35;luz;despejado;si;no;noche;si;si;1;0,12
urban;1;0,21;70;poca_luz;despejado;si;si;tarde;si;si;0;0,2
urban;3;0,05;70;luz;lluvioso;no;no;tarde;no;no;1;0,3
urban;2;0,93;45;poca_luz;lluvioso;si;no;mañana;no;si;2;0,4
urban;1;0,89;70;poca_luz;neblina;no;no;noche;si;si;2;0,56
autopista;1;0,19;70;noche;lluvioso;si;si;noche;no;no;2;0,57
autopista;1;0,49;45;poca_luz;neblina;no;no;mañana;si;si;2;0,31
urban;4;0,98;35;luz;despejado;no;si;noche;si;no;0;0,36
autopista;4;0,59;25;noche;lluvioso;si;si;tarde;si;si;6;0,6
urban;2;0,54;25;luz;lluvioso;no;si;mañana;no;no;1;0,26
rural;1;0,42;45;poca_luz;neblina;no;si;tarde;no;si;1;0,08
rural;3;0,13;70;poca_luz;despejado;no;no;tarde;no;si;1;0,31
rural;3;0,11;60;noche;lluvioso;si;si;noche;si;si;1;0,48
urban;4;0,88;25;luz;despejado;si;no;mañana;si;no;0;0,27
rural;1;0,24;35;poca_luz;lluvioso;si;no;noche;si;si;2;0,24
autopista;2;0,27;35;noche;lluvioso;no;si;noche;si;si;1;0,37
rural;1;0,14;60;poca_luz;neblina;no;no;noche;no;no;0;0,33
rural;1;0,39;35;noche;neblina;si;no;mañana;si;si;3;0,49
rural;1;0,63;70;poca_luz;neblina;no;no;tarde;si;no;3;0,56
autopista;4;0,54;35;poca_luz;neblina;no;no;noche;no;si;1;0,27
urban;3;0,03;70;luz;despejado;si;si;tarde;si;si;3;0,31
autopista;3;0,47;35;poca_luz;despejado;si;si;noche;si;si;2;0,2
urban;2;0,42;70;poca_luz;despejado;no;si;tarde;si;no;0;0,34
urban;4;0,26;45;luz;lluvioso;no;no;mañana;no;si;1;0,21
rural;2;0,65;45;noche;despejado;si;si;noche;no;no;4;0,53
urban;2;0,94;45;noche;neblina;si;si;mañana;no;no;0;0,59
autopista;4;0,7;35;luz;neblina;si;no;noche;si;no;3;0,39
autopista;3;0,18;45;poca_luz;despejado;si;no;tarde;no;no;0;0,03
urban;3;0,65;70;luz;despejado;si;si;mañana;si;no;0;0,48
rural;3;0,15;70;luz;lluvioso;no;si;noche;si;no;0;0,28
rural;4;0,55;70;noche;despejado;si;no;mañana;si;no;4;0,64
autopista;4;0,96;25;poca_luz;neblina;no;no;noche;no;si;1;0,28
rural;4;0,97;70;noche;despejado;si;si;mañana;si;si;2;0,62
urban;3;0,88;45;luz;neblina;no;no;mañana;si;no;2;0,33
urban;2;0,37;35;luz;lluvioso;no;no;tarde;no;si;0;0,2
autopista;3;0,7;60;noche;neblina;no;no;noche;no;no;3;0,82
urban;2;0,17;70;luz;lluvioso;si;no;mañana;si;si;1;0,35
autopista;3;0,93;60;luz;lluvioso;no;no;noche;si;si;1;0,53
urban;1;0,46;35;luz;lluvioso;si;si;mañana;si;si;1;0,23
autopista;4;0,57;70;noche;neblina;no;si;tarde;si;no;0;0,67
rural;2;0,38;70;luz;lluvioso;si;si;tarde;si;si;4;0,52
urban;2;0,41;35;poca_luz;neblina;no;no;tarde;no;no;1;0,31
urban;3;0,37;25;poca_luz;lluvioso;si;no;mañana;si;no;1;0,22
autopista;2;0,48;70;poca_luz;despejado;si;si;noche;si;si;1;0,26
autopista;1;0,86;45;poca_luz;despejado;si;no;mañana;si;no;2;0,24
urban;2;0,84;60;luz;lluvioso;si;si;tarde;no;no;3;0,61
autopista;2;0,34;60;poca_luz;lluvioso;si;no;mañana;si;si;1;0,44
urban;1;0,11;45;luz;despejado;no;si;tarde;no;no;2;0
rural;4;0,45;70;luz;despejado;si;no;noche;si;no;1;0,31
autopista;3;0,01;25;poca_luz;despejado;si;si;noche;si;si;2;0
urban;3;0,75;35;poca_luz;despejado;si;no;noche;si;si;0;0,22
rural;4;0;25;noche;neblina;no;no;mañana;no;si;3;0,39
rural;1;0,21;70;luz;neblina;si;si;mañana;no;si;2;0,44
urban;4;0,15;60;luz;despejado;no;no;mañana;no;no;0;0,19
autopista;2;0,87;70;noche;lluvioso;no;si;noche;si;si;3;0,94
urban;3;1;45;poca_luz;neblina;si;si;tarde;si;no;3;0,51
rural;3;0,15;25;poca_luz;despejado;si;no;noche;no;si;2;0
urban;3;0,57;70;noche;lluvioso;no;no;tarde;si;no;1;0,67
autopista;1;0,83;70;luz;lluvioso;no;no;noche;si;no;0;0,48
rural;1;0,35;25;luz;lluvioso;no;no;mañana;no;si;1;0,19
urban;2;0,25;60;noche;neblina;si;no;mañana;si;no;1;0,53
autopista;1;0,29;25;poca_luz;lluvioso;si;no;tarde;si;no;2;0,2
rural;1;0,32;35;luz;lluvioso;si;no;tarde;si;no;1;0,2
autopista;1;0,26;60;noche;lluvioso;no;no;tarde;si;no;2;0,58
rural;4;0,07;70;luz;lluvioso;no;si;mañana;no;no;0;0,25
urban;4;0,92;70;poca_luz;neblina;no;no;noche;si;si;1;0,61
autopista;3;0,9;70;noche;neblina;no;no;noche;si;no;2;0,8
rural;1;0,85;25;noche;lluvioso;si;no;noche;si;si;2;0,51
autopista;1;0,77;35;noche;despejado;no;si;noche;no;si;1;0,45
autopista;3;0,75;70;luz;despejado;si;no;noche;no;no;1;0,41
urban;1;0,71;25;poca_luz;neblina;no;no;mañana;no;no;0;0,22
autopista;4;0,85;45;poca_luz;despejado;si;no;mañana;no;no;0;0,21
rural;1;0,05;60;luz;lluvioso;no;si;tarde;no;no;0;0,27
rural;4;0,77;45;luz;despejado;no;no;tarde;si;si;2;0,19
rural;4;0,87;70;noche;neblina;no;si;tarde;no;si;1;0,73
rural;3;0,65;70;luz;neblina;no;si;noche;si;no;0;0,4
urban;2;0,85;35;noche;neblina;no;si;noche;si;si;2;0,61
autopista;1;0,3;70;poca_luz;neblina;si;no;mañana;si;no;1;0,39
urban;2;0,36;25;poca_luz;despejado;si;no;mañana;si;si;0;0,07
autopista;2;0,61;35;noche;lluvioso;no;no;tarde;si;no;1;0,45
autopista;2;0,14;45;luz;neblina;si;si;tarde;si;si;3;0,29
autopista;3;0,19;35;poca_luz;despejado;no;no;mañana;no;si;0;0,09
urban;2;0,99;35;poca_luz;despejado;no;si;mañana;si;no;0;0,22
autopista;3;0,79;70;poca_luz;neblina;no;si;tarde;si;si;1;0,55
urban;1;0,11;60;luz;despejado;si;si;mañana;no;no;1;0,21
rural;2;0,12;35;luz;despejado;si;si;tarde;si;no;4;0,11
rural;4;0,39;70;noche;despejado;si;no;noche;no;si;2;0,48
autopista;2;1;70;poca_luz;despejado;si;no;noche;no;si;1;0,55
urban;2;0,98;60;poca_luz;despejado;si;si;mañana;si;no;1;0,58
rural;4;0,47;60;luz;despejado;no;no;noche;no;no;5;0,43
urban;1;0,44;45;poca_luz;lluvioso;no;no;tarde;no;si;2;0,18
urban;4;0,59;70;poca_luz;neblina;si;si;noche;si;no;1;0,5
autopista;1;0,66;70;luz;neblina;no;si;mañana;no;no;3;0,59
rural;3;0,26;60;luz;lluvioso;no;si;mañana;no;no;0;0,46
autopista;3;0,17;45;poca_luz;despejado;no;si;tarde;si;si;1;0,07
autopista;4;0,82;45;noche;neblina;si;no;mañana;si;no;1;0,6
rural;3;0,35;60;noche;lluvioso;si;si;noche;no;si;4;0,73
rural;4;0,04;35;noche;despejado;no;no;tarde;no;no;1;0,18
urban;3;0,86;35;luz;despejado;si;no;mañana;si;si;1;0,26
rural;4;0,73;70;noche;neblina;no;no;tarde;si;si;1;0,79
urban;4;0,72;45;noche;despejado;si;no;noche;no;si;1;0,39
urban;3;0,65;70;luz;despejado;si;si;tarde;si;si;1;0,34
urban;3;0,41;45;poca_luz;lluvioso;si;si;noche;no;si;0;0,26
rural;1;0,89;25;luz;despejado;si;no;tarde;no;no;2;0,2
autopista;4;0,37;45;poca_luz;despejado;si;no;tarde;no;si;4;0,22
urban;2;0,27;45;luz;neblina;si;no;tarde;si;si;3;0,25
autopista;2;0,54;60;luz;lluvioso;no;si;noche;no;no;2;0,38
autopista;2;0,46;45;poca_luz;lluvioso;si;no;tarde;si;si;1;0,2
rural;4;0,03;25;poca_luz;neblina;no;si;tarde;no;no;1;0,15
autopista;1;0,29;45;poca_luz;neblina;si;no;tarde;no;si;2;0,21
autopista;1;0,38;25;luz;despejado;no;si;tarde;si;no;2;0,13
rural;4;0,79;35;noche;lluvioso;no;no;noche;si;si;1;0,55
urban;3;0,4;70;poca_luz;lluvioso;no;si;mañana;si;si;0;0,44
autopista;3;0,94;35;luz;despejado;si;no;noche;no;no;2;0,33
rural;2;0,74;60;noche;despejado;no;no;noche;no;si;3;0,7
autopista;4;0,82;60;luz;lluvioso;si;si;mañana;si;si;2;0,54
autopista;2;0,89;60;poca_luz;lluvioso;no;no;tarde;si;no;0;0,57
urban;1;0,2;70;noche;lluvioso;si;no;mañana;no;no;0;0,58
autopista;4;0,8;35;poca_luz;lluvioso;no;si;mañana;no;no;3;0,47
rural;4;0,19;25;luz;neblina;no;no;mañana;si;no;4;0,29
autopista;1;0,55;70;noche;lluvioso;no;si;tarde;si;no;1;0,62
urban;2;0,31;45;noche;despejado;si;si;tarde;no;si;0;0,28
urban;1;0,5;70;poca_luz;lluvioso;no;no;tarde;si;no;4;0,51
rural;2;0,21;60;poca_luz;neblina;si;si;noche;no;si;1;0,4
urban;2;0,96;35;luz;despejado;si;no;tarde;si;si;1;0,36
autopista;2;0,67;25;noche;neblina;no;no;mañana;no;no;1;0,51
urban;2;0,25;70;poca_luz;neblina;si;si;noche;no;si;1;0,32
rural;2;0,24;45;poca_luz;despejado;no;si;noche;no;no;3;0,22
urban;2;0,16;35;luz;lluvioso;si;si;tarde;si;no;0;0,11
urban;2;0,78;35;luz;lluvioso;no;no;tarde;no;no;3;0,41
urban;3;0,48;25;poca_luz;neblina;no;no;noche;si;si;0;0,21
rural;1;0,89;60;luz;lluvioso;no;si;mañana;si;no;0;0,58
urban;1;0;70;poca_luz;neblina;si;no;noche;no;si;2;0,33
urban;2;0,5;70;poca_luz;despejado;no;si;noche;no;no;1;0,39
autopista;1;0,49;60;noche;lluvioso;no;si;noche;si;no;2;0,72
rural;3;0,98;70;luz;lluvioso;si;si;tarde;si;si;0;0,66
urban;1;0,73;45;luz;neblina;si;si;noche;si;no;1;0,36
rural;3;0,54;60;luz;despejado;si;no;tarde;si;no;1;0,38
urban;3;0,58;45;poca_luz;lluvioso;si;no;tarde;si;no;2;0,24
urban;2;0,7;25;noche;despejado;si;no;mañana;si;si;2;0,4
urban;1;0,92;35;poca_luz;neblina;no;no;noche;si;si;1;0,34
autopista;1;0,06;35;luz;lluvioso;si;si;noche;si;no;1;0,06
autopista;3;0,06;45;poca_luz;neblina;si;si;mañana;no;no;1;0,11
autopista;2;0,21;25;luz;despejado;no;si;mañana;si;no;5;0,12
rural;2;0,44;35;luz;despejado;no;si;tarde;si;no;2;0,1
rural;3;0,35;45;noche;lluvioso;si;no;mañana;si;si;0;0,41
autopista;4;0,05;45;noche;despejado;no;si;mañana;no;si;2;0,15
rural;4;0,6;45;luz;neblina;si;si;noche;si;no;1;0,27
urban;1;0,84;45;luz;lluvioso;no;no;noche;no;no;0;0,4
urban;2;0,06;25;noche;despejado;no;si;noche;no;no;2;0,31
urban;3;0,52;45;poca_luz;lluvioso;no;si;noche;si;si;0;0,23
autopista;4;0,98;60;noche;lluvioso;no;no;tarde;no;no;6;0,89
rural;2;0,05;35;poca_luz;despejado;si;si;noche;no;no;1;0,12
autopista;4;0,29;70;luz;neblina;si;si;tarde;si;no;3;0,48
rural;3;0,44;60;noche;lluvioso;si;no;mañana;no;no;1;0,68
urban;2;0,17;35;noche;despejado;si;no;mañana;si;no;0;0,23
autopista;2;0,55;60;poca_luz;despejado;si;si;tarde;no;no;1;0,29
rural;4;0,85;35;poca_luz;despejado;si;si;noche;si;si;3;0,38
rural;2;0,37;35;luz;lluvioso;no;si;noche;si;si;0;0,23
urban;2;0,01;45;poca_luz;lluvioso;si;no;tarde;no;no;2;0,18
autopista;3;0,61;45;luz;despejado;si;si;mañana;si;no;0;0,25
autopista;4;0,88;70;poca_luz;despejado;si;no;tarde;si;no;0;0,55
autopista;2;0,79;70;poca_luz;neblina;si;no;noche;si;si;0;0,51
urban;1;0,65;25;poca_luz;neblina;no;si;tarde;no;si;2;0,34
autopista;1;0,78;35;luz;lluvioso;no;si;noche;si;si;2;0,29
urban;1;0,32;35;poca_luz;neblina;no;no;tarde;no;si;2;0,27
urban;2;0,49;70;luz;neblina;si;si;noche;no;si;1;0,37
urban;1;0,38;25;noche;despejado;no;si;mañana;si;no;2;0,34
rural;2;0,04;25;poca_luz;neblina;si;no;noche;si;si;0;0,09
autopista;2;0,25;60;poca_luz;despejado;no;si;noche;no;no;2;0,28
autopista;3;0,5;70;luz;lluvioso;si;no;tarde;no;si;1;0,43
urban;1;0,65;60;noche;lluvioso;no;si;noche;no;si;4;0,8
urban;3;0,02;25;poca_luz;despejado;no;si;noche;si;no;1;0,05
autopista;4;0,93;25;poca_luz;lluvioso;si;si;tarde;no;no;2;0,36
urban;4;0,6;25;noche;lluvioso;si;si;noche;si;no;4;0,63
autopista;2;0,83;60;luz;neblina;no;si;mañana;si;si;2;0,52
rural;2;0,18;25;poca_luz;neblina;no;si;mañana;no;no;1;0,15
urban;3;0,63;25;noche;despejado;no;si;tarde;no;no;2;0,38
autopista;2;0,08;70;poca_luz;lluvioso;si;si;mañana;si;si;3;0,4
urban;4;0,45;45;poca_luz;despejado;si;no;mañana;no;si;1;0,16
autopista;3;0,7;35;luz;despejado;si;no;mañana;no;no;0;0,16
autopista;1;0,66;25;poca_luz;neblina;si;si;mañana;no;si;2;0,29
urban;4;0,23;60;poca_luz;lluvioso;si;no;noche;si;si;3;0,5
rural;2;0,11;60;poca_luz;neblina;no;si;noche;si;si;0;0,33
autopista;2;0,36;35;noche;despejado;si;si;noche;si;si;0;0,25
autopista;3;0,61;60;noche;despejado;si;si;noche;si;si;1;0,59
autopista;2;0,09;60;luz;lluvioso;si;si;mañana;si;si;0;0,35
rural;4;0,84;70;poca_luz;lluvioso;si;no;noche;no;no;2;0,53
rural;1;0,5;60;poca_luz;lluvioso;no;si;noche;si;si;2;0,49
urban;1;0,86;35;luz;neblina;no;si;mañana;si;si;1;0,38
rural;1;0,65;60;noche;lluvioso;si;no;noche;no;no;4;0,74
urban;2;0,97;70;luz;lluvioso;no;si;tarde;no;no;0;0,61
urban;3;0,49;25;poca_luz;neblina;si;no;mañana;no;si;2;0,26
rural;1;0,73;45;poca_luz;despejado;no;no;mañana;no;no;1;0,27
urban;1;0,49;45;poca_luz;lluvioso;no;si;tarde;no;no;0;0,14
rural;2;0,17;35;luz;despejado;no;no;tarde;no;no;2;0,12
urban;3;0,09;35;luz;lluvioso;si;no;tarde;si;si;1;0,15
rural;3;0,24;25;noche;despejado;no;si;mañana;si;no;0;0,26
rural;1;0,58;60;luz;lluvioso;si;no;mañana;no;si;2;0,61
urban;4;0,83;35;poca_luz;lluvioso;si;si;tarde;no;no;0;0,3
autopista;3;0,14;60;noche;neblina;no;no;mañana;si;si;2;0,51
urban;1;0,92;60;noche;despejado;no;si;noche;no;si;2;0,74
rural;4;0,48;70;luz;neblina;si;si;noche;si;si;1;0,36
autopista;2;0,5;70;poca_luz;lluvioso;no;no;noche;no;no;1;0,44
urban;1;0,03;25;poca_luz;neblina;si;no;noche;no;no;1;0,08
urban;2;0,97;45;poca_luz;neblina;no;si;noche;si;si;2;0,4
urban;1;0,06;35;luz;lluvioso;no;si;noche;no;no;0;0,06
autopista;2;0,29;35;noche;neblina;no;si;mañana;no;si;3;0,5
rural;2;0,63;60;luz;neblina;si;si;tarde;si;si;1;0,49
urban;4;0,64;35;luz;despejado;no;no;tarde;no;no;2;0,2
urban;3;0,43;35;poca_luz;despejado;si;si;mañana;si;si;0;0,17
urban;4;0,87;45;poca_luz;neblina;si;no;tarde;si;no;0;0,26
urban;1;0,33;35;noche;neblina;si;si;mañana;si;no;0;0,47
urban;2;0,15;25;poca_luz;despejado;no;no;mañana;no;no;3;0,12
rural;1;0,04;60;luz;despejado;si;no;mañana;si;si;2;0,19
rural;2;0,14;70;poca_luz;neblina;no;no;mañana;no;no;0;0,27
urban;1;0,96;60;noche;lluvioso;no;si;mañana;no;si;2;0,79
autopista;3;0,31;45;luz;despejado;no;no;noche;no;si;0;0,12
rural;1;0,66;25;noche;despejado;no;si;tarde;si;no;3;0,45
